X,Y,Z,F,noise
2549129.756,5569366.633,439.479,48588.3,0.41
2549110.852,5569391.28,445.033,49721.4,1.03
2549108.696,5569391.26,445.252,49764.5,2.15
2549108.976,5569388.091,445.093,49744.3,2.05
2549105.839,5569386.011,445.187,49765.5,2.84
2549101.974,5569387.396,445.764,49778.2,2.17
2549100.904,5569391.218,446.268,49860.0,1.5
2549103.147,5569391.259,445.927,49840.6,1.26
2549102.322,5569394.601,446.28,49891.1,3.15
2549105.759,5569396.3,445.945,49865.0,2.29
2549105.783,5569394.115,445.812,49853.4,1.93
2549109.164,5569394.711,445.403,49790.1,1.84
2549033.898,5569390.955,455.651,48407.6,0.59
2549033.162,5569404.829,454.416,48474.0,0.53
2549042.8,5569403.131,453.376,48387.5,0.45
2549050.356,5569401.917,452.678,48553.2,1.11
2549032.744,5569420.633,453.461,48472.4,0.57
2549038.459,5569418.699,452.693,48387.8,0.71
2549043.539,5569416.536,452.32,48414.7,0.62
2549045.802,5569415.551,452.176,48405.7,0.73
2549041.12,5569417.601,452.491,48411.0,0.95
2549034.981,5569420.011,453.224,48441.7,1.3
2549028.738,5569441.034,453.14,48392.0,0.69
2549035.758,5569436.905,452.828,48442.1,1.02
2549042.155,5569433.058,452.256,48427.3,0.8
2549047.546,5569429.492,451.866,48464.3,0.98
2549052.061,5569444.272,451.581,48419.9,1.41
2549046.101,5569449.104,452.002,48392.4,1.35
2549068.476,5569446.567,450.534,48644.3,0.89
2549071.6,5569441.992,450.225,48816.3,1.01
2549075.22,5569435.838,449.765,48984.6,2.14
2549081.142,5569448.428,449.793,48781.5,1.68
2549093.249,5569450.41,449.112,48784.3,1.84
2549094.804,5569441.893,448.542,49210.9,2.75
2549105.148,5569452.299,448.519,48719.1,1.46
2549117.447,5569453.902,447.996,48560.8,0.9
2549115.22,5569444.309,447.256,48912.8,2.7
2549132.72,5569456.39,447.243,48329.5,0.78
2549151.127,5569459.357,446.705,48200.2,0.41
2549145.521,5569450.767,446.015,48182.4,0.36
2549175.527,5569463.438,445.932,48368.3,0.59
2549169.385,5569456.913,445.786,48379.8,0.64
2549164.347,5569451.81,445.221,48229.1,0.45
2549160.712,5569448.673,445.015,48182.9,0.5
2549157.465,5569445.488,444.793,48159.8,0.42
2549154.443,5569442.034,444.556,48237.4,0.4
2549152.217,5569439.384,444.347,48364.4,0.58
2549153.724,5569440.52,444.372,48312.5,0.49
2549104.972,5569458.528,448.694,48617.6,0.68
2549104.926,5569465.078,449.352,48540.8,1.31
2549105.121,5569471.151,450.061,48516.7,0.43
2549105.693,5569477.717,450.826,48525.9,0.56
2549105.755,5569485.315,451.843,48561.0,0.8
2549069.036,5569479.972,453.019,48617.4,0.57
2549071.031,5569472.284,452.117,48616.0,0.78
2549072.84,5569465.294,451.36,48647.9,0.93
2549075.438,5569459.206,450.735,48641.2,0.96
2549077.614,5569453.649,450.196,48650.4,0.52
2549039.766,5569455.31,452.452,48323.2,0.44
2549036.18,5569460.403,452.79,48275.3,1.05
2549032.949,5569465.399,453.252,48273.0,0.64
2549134.433,5569462.894,447.666,48344.0,0.43
2549137.123,5569469.635,448.351,48427.8,0.48
2549138.736,5569475.558,449.03,48502.4,0.83
2549153.79,5569342.571,432.848,48208.4,0.44
2549082.471,5569384.479,448.815,49494.1,2.74
2549079.059,5569380.53,449.403,49427.2,2.49
2549073.951,5569379.762,450.397,49415.2,2.22
2549061.579,5569379.939,453.582,48713.7,1.18
2549055.621,5569376.459,454.712,48497.1,0.5
2549052.273,5569372.564,455.035,48260.7,0.54
2549046.205,5569372.625,455.849,48342.9,0.41
2549063.502,5569378.782,453.186,48816.4,1.11
2549071.434,5569376.899,451.039,49420.6,1.28
2549069.751,5569382.06,451.445,49164.7,1.11
2549081.384,5569386.069,449.147,49512.3,1.16
2549074.672,5569385.958,450.454,49344.3,2.53
2549068.076,5569385.399,451.735,49009.9,0.54
2549062.451,5569385.52,452.797,48736.0,1.27
2549055.725,5569384.988,454.04,48505.5,0.51
2549047.905,5569383.691,455.279,48512.9,0.64
2549037.858,5569377.067,456.728,48366.3,0.45
2549042.752,5569362.789,457.307,48326.2,0.86
