68# Number of electrodes
# x z position for each electrode
0.000000	0.000000
2.000000	0.000000
4.000000	0.000000
6.000000	0.000000
8.000000	0.000000
10.000000	0.000000
12.000000	0.000000
14.000000	0.000000
16.000000	0.000000
18.000000	0.000000
20.000000	0.000000
22.000000	0.000000
24.000000	0.000000
26.000000	0.000000
28.000000	0.000000
30.000000	0.000000
32.000000	0.000000
34.000000	0.000000
36.000000	0.000000
38.000000	0.000000
40.000000	0.000000
42.000000	0.000000
44.000000	0.000000
46.000000	0.000000
48.000000	0.000000
50.000000	0.000000
52.000000	0.000000
54.000000	0.000000
56.000000	0.000000
58.000000	0.000000
60.000000	0.000000
62.000000	0.000000
64.000000	0.000000
66.000000	0.000000
68.000000	0.000000
70.000000	0.000000
72.000000	0.000000
74.000000	0.000000
76.000000	0.000000
78.000000	0.000000
80.000000	0.000000
82.000000	0.000000
84.000000	0.000000
86.000000	0.000000
88.000000	0.000000
90.000000	0.000000
92.000000	0.000000
94.000000	0.000000
96.000000	0.000000
98.000000	0.000000
100.000000	0.000000
102.000000	0.000000
104.000000	0.000000
106.000000	0.000000
108.000000	0.000000
110.000000	0.000000
112.000000	0.000000
114.000000	0.000000
116.000000	0.000000
118.000000	0.000000
120.000000	0.000000
122.000000	0.000000
124.000000	0.000000
126.000000	0.000000
128.000000	0.000000
130.000000	0.000000
132.000000	0.000000
134.000000	0.000000
1848# Number of data
# a b m n i/mA u/mV
1	2	3	4	362.351054	-947.916462
4	12	56	64	369.298401	-3.199307
4	12	58	66	367.455149	-3.062325
5	6	7	8	303.458633	-599.037898
5	6	8	9	303.458633	-131.351219
5	6	9	10	303.458633	-45.466481
5	6	10	11	303.458633	-19.963988
5	6	11	12	303.458633	-10.402880
5	6	12	13	303.458633	-6.400616
5	6	13	14	303.458633	-4.112434
5	6	14	15	303.458633	-2.990627
5	6	15	16	303.458633	-2.025744
5	6	16	17	303.458633	-1.654483
5	6	17	18	303.458633	-1.118451
5	6	18	19	303.458633	-1.197788
5	6	19	20	303.458633	-0.821717
5	6	20	21	303.458633	-0.652997
5	6	21	22	303.458633	-0.554470
5	6	22	23	303.458633	-0.440302
5	6	23	24	303.458633	-0.430797
5	6	24	25	303.458633	-0.372671
5	7	23	25	315.507823	-1.889341
5	7	25	27	315.507823	-1.154122
5	7	27	29	315.507823	-0.981541
5	7	29	31	315.507823	-0.756666
5	7	31	33	315.507823	-0.664735
5	7	33	35	315.507823	-0.654118
5	7	35	37	315.507823	-0.517837
5	7	37	24	315.507823	5.639211
5	7	24	26	315.507823	-1.496042
5	7	26	28	315.507823	-1.094370
5	7	28	30	315.507823	-0.828434
5	7	30	32	315.507823	-0.723652
5	7	32	34	315.507823	-0.661298
5	7	34	36	315.507823	-0.591626
6	7	8	9	344.300435	-645.215716
6	7	9	10	344.300435	-146.814121
6	7	10	11	344.300435	-52.484000
6	7	11	12	344.300435	-23.682732
6	7	12	13	344.300435	-12.351831
6	7	13	14	344.300435	-7.415530
6	7	14	15	344.300435	-4.874157
6	7	15	16	344.300435	-3.489619
6	7	16	17	344.300435	-2.384370
6	7	17	18	344.300435	-2.122299
6	7	18	19	344.300435	-1.348008
6	7	19	20	344.300435	-1.188886
6	7	20	21	344.300435	-0.918563
6	7	21	22	344.300435	-0.772360
6	7	22	23	344.300435	-0.603312
6	7	23	24	344.300435	-0.588123
6	7	24	25	344.300435	-0.495303
6	7	25	26	344.300435	-0.383697
6	8	24	26	317.132690	-1.783947
6	8	26	28	317.132690	-1.241260
6	8	28	30	317.132690	-0.964982
6	8	30	32	317.132690	-0.818479
6	8	32	34	317.132690	-0.734155
6	8	34	36	317.132690	-0.656498
6	8	36	38	317.132690	-0.544193
6	8	38	25	317.132690	5.760558
6	8	25	27	317.132690	-1.442218
6	8	27	29	317.132690	-1.129096
6	8	29	31	317.132690	-0.865654
6	8	31	33	317.132690	-0.740681
6	8	33	35	317.132690	-0.727924
6	8	35	37	317.132690	-0.582673
6	10	35	39	325.851402	-2.414249
6	10	39	43	325.851402	-1.728389
6	10	43	47	325.851402	-1.410729
6	10	47	36	325.851402	4.862411
6	10	36	40	325.851402	-2.159448
6	10	40	44	325.851402	-1.687513
6	10	44	48	325.851402	-1.277882
6	10	48	52	325.851402	-0.985024
6	10	52	56	325.851402	-0.726212
6	10	56	37	325.851402	6.230473
6	10	37	41	325.851402	-1.986957
6	10	41	45	325.851402	-1.626251
6	10	45	38	325.851402	3.010946
6	10	38	42	325.851402	-1.817626
6	10	42	46	325.851402	-1.540968
6	10	46	50	325.851402	-1.048126
6	10	50	54	325.851402	-0.884638
6	10	54	58	325.851402	-0.633315
7	8	9	10	347.153381	-630.051360
7	8	10	11	347.153381	-150.444712
7	8	11	12	347.153381	-53.032307
7	8	12	13	347.153381	-24.169705
7	8	13	14	347.153381	-12.201738
7	8	14	15	347.153381	-7.440374
7	8	15	16	347.153381	-4.837012
7	8	16	17	347.153381	-3.611884
7	8	17	18	347.153381	-2.601963
7	8	18	19	347.153381	-1.969794
7	8	19	20	347.153381	-1.521974
7	8	20	21	347.153381	-1.156574
7	8	21	22	347.153381	-0.952711
7	8	22	23	347.153381	-0.735318
7	8	23	24	347.153381	-0.707404
7	8	24	25	347.153381	-0.580927
7	8	25	26	347.153381	-0.450635
7	8	26	27	347.153381	-0.400921
7	9	25	27	354.889882	-1.895964
7	9	27	29	354.889882	-1.418862
7	9	29	31	354.889882	-1.097566
7	9	31	33	354.889882	-0.920803
7	9	33	35	354.889882	-0.892561
7	9	35	37	354.889882	-0.718944
7	9	37	39	354.889882	-0.594275
7	9	39	26	354.889882	6.544066
7	9	26	28	354.889882	-1.637971
7	9	28	30	354.889882	-1.235807
7	9	30	32	354.889882	-1.019977
7	9	32	34	354.889882	-0.907172
7	9	34	36	354.889882	-0.807348
7	9	36	38	354.889882	-0.668025
8	9	10	11	328.474467	-595.130132
8	9	11	12	328.474467	-138.502528
8	9	12	13	328.474467	-49.847042
8	9	13	14	328.474467	-21.418810
8	9	14	15	328.474467	-11.489930
8	9	15	16	328.474467	-7.375122
8	9	16	17	328.474467	-4.438049
8	9	17	18	328.474467	-3.384741
8	9	18	19	328.474467	-2.483992
8	9	19	20	328.474467	-1.858582
8	9	20	21	328.474467	-1.375860
8	9	21	22	328.474467	-1.118823
8	9	22	23	328.474467	-0.844914
8	9	23	24	328.474467	-0.798849
8	9	24	25	328.474467	-0.651650
8	9	25	26	328.474467	-0.501458
8	9	26	27	328.474467	-0.436719
8	9	27	28	328.474467	-0.375179
8	10	26	28	322.965820	-1.766328
8	10	28	30	322.965820	-1.235677
8	10	30	32	322.965820	-1.033540
8	10	32	34	322.965820	-0.920752
8	10	34	36	322.965820	-0.804629
8	10	36	38	322.965820	-0.667242
8	10	38	40	322.965820	-0.505632
8	10	40	27	322.965820	6.010208
8	10	27	29	322.965820	-1.484201
8	10	29	31	322.965820	-1.144855
8	10	31	33	322.965820	-0.937026
8	10	33	35	322.965820	-0.896190
8	10	35	37	322.965820	-0.719562
8	10	37	39	322.965820	-0.587215
8	12	37	41	343.189117	-2.571493
8	12	41	45	343.189117	-1.996055
8	12	45	49	343.189117	-1.399841
8	12	49	38	343.189117	5.193457
8	12	38	42	343.189117	-2.306009
8	12	42	46	343.189117	-1.919614
8	12	46	50	343.189117	-1.279952
8	12	50	54	343.189117	-1.068179
8	12	54	58	343.189117	-0.755787
8	12	58	39	343.189117	6.697181
8	12	39	43	343.189117	-2.196002
8	12	43	47	343.189117	-1.747707
8	12	47	40	343.189117	3.369680
8	12	40	44	343.189117	-2.120980
8	12	44	48	343.189117	-1.571024
8	12	48	52	343.189117	-1.199759
8	12	52	56	343.189117	-0.872019
8	12	56	60	343.189117	-0.850054
8	16	56	64	361.742249	-4.097116
8	16	58	66	354.265350	-3.836906
8	16	66	60	354.265350	2.635116
8	16	60	68	354.265350	-3.221010
8	16	68	62	354.265350	2.181953
9	10	11	12	337.941676	-576.649162
9	10	12	13	337.941676	-135.959615
9	10	13	14	337.941676	-46.083500
9	10	14	15	337.941676	-21.241410
9	10	15	16	337.941676	-11.224874
9	10	16	17	337.941676	-6.817032
9	10	17	18	337.941676	-5.035065
9	10	18	19	337.941676	-3.430121
9	10	19	20	337.941676	-2.498971
9	10	20	21	337.941676	-1.800848
9	10	21	22	337.941676	-1.436572
9	10	22	23	337.941676	-1.068208
9	10	23	24	337.941676	-0.990252
9	10	24	25	337.941676	-0.798070
9	10	25	26	337.941676	-0.601214
9	10	26	27	337.941676	-0.522466
9	10	27	28	337.941676	-0.449662
9	10	28	29	337.941676	-0.378461
9	11	27	29	328.437734	-1.784774
9	11	29	31	328.437734	-1.339305
9	11	31	33	328.437734	-1.084165
9	11	33	35	328.437734	-1.019532
9	11	35	37	328.437734	-0.831989
9	11	37	39	328.437734	-0.658329
9	11	39	41	328.437734	-0.529401
9	11	41	28	328.437734	6.296681
9	11	28	30	328.437734	-1.531526
9	11	30	32	328.437734	-1.189901
9	11	32	34	328.437734	-1.064230
9	11	34	36	328.437734	-0.915649
9	11	36	38	328.437734	-0.769238
9	11	38	40	328.437734	-0.565718
10	11	12	13	315.390798	-537.971300
10	11	13	14	315.390798	-117.524428
10	11	14	15	315.390798	-41.641671
10	11	15	16	315.390798	-18.955407
10	11	16	17	315.390798	-10.596219
10	11	17	18	315.390798	-6.427535
10	11	18	19	315.390798	-4.952173
10	11	19	20	315.390798	-3.248847
10	11	20	21	315.390798	-2.255713
10	11	21	22	315.390798	-1.778651
10	11	22	23	315.390798	-1.279912
10	11	23	24	315.390798	-1.172934
10	11	24	25	315.390798	-0.923631
10	11	25	26	315.390798	-0.680583
10	11	26	27	315.390798	-0.599290
10	11	27	28	315.390798	-0.496132
10	11	28	29	315.390798	-0.416806
10	11	29	30	315.390798	-0.391591
10	12	28	30	352.697510	-1.980438
10	12	30	32	352.697510	-1.491179
10	12	32	34	352.697510	-1.329963
10	12	34	36	352.697510	-1.130399
10	12	36	38	352.697510	-0.931756
10	12	38	40	352.697510	-0.684906
10	12	40	42	352.697510	-0.622420
10	12	42	29	352.697510	7.131286
10	12	29	31	352.697510	-1.735074
10	12	31	33	352.697510	-1.365790
10	12	33	35	352.697510	-1.268773
10	12	35	37	352.697510	-1.010492
10	12	37	39	352.697510	-0.802267
10	12	39	41	352.697510	-0.640110
10	14	39	43	339.385061	-2.768575
10	14	43	47	339.385061	-2.119748
